# Statistics for plot.txt (t=10.0 to 16.0)
# Variable         Average Std_Dev        
Fx                9.913582 1.499823       
Fz               19.609754 3.310423       
GrTr             11.571857 1.751719       
RollRes           1.658275 0.569763       
Slip              0.868000 0.000000       
Ty               -1.272904 0.192689       
Vz                0.000071 0.020869       
x                 0.130893 0.069417       
z                -0.137041 0.000396       
